depth,site,seed_type,density
0-1,WR5,nv,129.9262344
1-2,WR5,nv,259.8524688
2-3,WR5,nv,324.815586
3-4,WR5,nv,454.7418203
4-5,WR5,nv,844.5205235
5-6,WR5,nv,324.815586
6-7,WR5,nv,259.8524688
7-8,WR5,nv,259.8524688
8-9,WR5,nv,649.6311719
9-10,WR5,nv,64.96311719
10-11,WR5,nv,389.7787031
11-12,WR5,nv,129.9262344
12-13,WR5,nv,0
13-14,WR5,nv,64.96311719
14-15,WR5,nv,259.8524688
15-16,WR5,nv,129.9262344
16-17,WR5,nv,194.8893516
17-18,WR5,nv,0
18-19,WR5,nv,0
19-20,WR5,nv,0
20-21,WR5,nv,194.8893516
21-22,WR5,nv,64.96311719
22-23,WR5,nv,0
23-24,WR5,nv,0
24-25,WR5,nv,64.96311719
25-26,WR5,nv,0
26-27,WR5,nv,0
27-28,WR5,nv,0
28-29,WR5,nv,64.96311719
29-30,WR5,nv,129.9262344
0-1,WR5,v,0
1-2,WR5,v,0
2-3,WR5,v,0
3-4,WR5,v,0
4-5,WR5,v,64.96311719
5-6,WR5,v,64.96311719
6-7,WR5,v,0
7-8,WR5,v,0
8-9,WR5,v,0
9-10,WR5,v,0
10-11,WR5,v,0
11-12,WR5,v,0
12-13,WR5,v,0
13-14,WR5,v,0
14-15,WR5,v,64.96311719
15-16,WR5,v,0
16-17,WR5,v,0
17-18,WR5,v,0
18-19,WR5,v,0
19-20,WR5,v,0
20-21,WR5,v,0
21-22,WR5,v,0
22-23,WR5,v,0
23-24,WR5,v,0
24-25,WR5,v,0
25-26,WR5,v,0
26-27,WR5,v,64.96311719
27-28,WR5,v,0
28-29,WR5,v,0
29-30,WR5,v,0
0-1,WR8,nv,454.7418203
1-2,WR8,nv,779.5574063
2-3,WR8,nv,454.7418203
3-4,WR8,nv,519.7049375
4-5,WR8,nv,454.7418203
5-6,WR8,nv,324.815586
6-7,WR8,nv,259.8524688
7-8,WR8,nv,324.815586
8-9,WR8,nv,194.8893516
9-10,WR8,nv,129.9262344
10-11,WR8,nv,324.815586
11-12,WR8,nv,64.96311719
12-13,WR8,nv,0
13-14,WR8,nv,64.96311719
14-15,WR8,nv,194.8893516
15-16,WR8,nv,194.8893516
16-17,WR8,nv,519.7049375
17-18,WR8,nv,64.96311719
18-19,WR8,nv,194.8893516
19-20,WR8,nv,129.9262344
20-21,WR8,nv,64.96311719
21-22,WR8,nv,64.96311719
22-23,WR8,nv,64.96311719
23-24,WR8,nv,0
24-25,WR8,nv,0
25-26,WR8,nv,64.96311719
26-27,WR8,nv,0
27-28,WR8,nv,129.9262344
28-29,WR8,nv,129.9262344
29-30,WR8,nv,0
0-1,WR8,v,64.96311719
1-2,WR8,v,0
2-3,WR8,v,129.9262344
3-4,WR8,v,0
4-5,WR8,v,0
5-6,WR8,v,64.96311719
6-7,WR8,v,129.9262344
7-8,WR8,v,0
8-9,WR8,v,64.96311719
9-10,WR8,v,64.96311719
10-11,WR8,v,129.9262344
11-12,WR8,v,0
12-13,WR8,v,0
13-14,WR8,v,64.96311719
14-15,WR8,v,64.96311719
15-16,WR8,v,129.9262344
16-17,WR8,v,0
17-18,WR8,v,64.96311719
18-19,WR8,v,129.9262344
19-20,WR8,v,194.8893516
20-21,WR8,v,64.96311719
21-22,WR8,v,0
22-23,WR8,v,0
23-24,WR8,v,0
24-25,WR8,v,0
25-26,WR8,v,64.96311719
26-27,WR8,v,0
27-28,WR8,v,0
28-29,WR8,v,0
29-30,WR8,v,0
0-1,WR18,nv,324.815586
1-2,WR18,nv,454.7418203
2-3,WR18,nv,454.7418203
3-4,WR18,nv,584.6680547
4-5,WR18,nv,649.6311719
5-6,WR18,nv,649.6311719
6-7,WR18,nv,324.815586
7-8,WR18,nv,259.8524688
8-9,WR18,nv,649.6311719
9-10,WR18,nv,649.6311719
10-11,WR18,nv,194.8893516
11-12,WR18,nv,129.9262344
12-13,WR18,nv,129.9262344
13-14,WR18,nv,194.8893516
14-15,WR18,nv,259.8524688
15-16,WR18,nv,259.8524688
16-17,WR18,nv,194.8893516
17-18,WR18,nv,519.7049375
18-19,WR18,nv,259.8524688
19-20,WR18,nv,389.7787031
20-21,WR18,nv,324.815586
21-22,WR18,nv,129.9262344
22-23,WR18,nv,259.8524688
23-24,WR18,nv,259.8524688
24-25,WR18,nv,259.8524688
25-26,WR18,nv,324.815586
26-27,WR18,nv,64.96311719
27-28,WR18,nv,909.4836407
28-29,WR18,nv,389.7787031
29-30,WR18,nv,64.96311719
0-1,WR18,v,64.96311719
1-2,WR18,v,129.9262344
2-3,WR18,v,0
3-4,WR18,v,0
4-5,WR18,v,64.96311719
5-6,WR18,v,64.96311719
6-7,WR18,v,0
7-8,WR18,v,0
8-9,WR18,v,0
9-10,WR18,v,0
10-11,WR18,v,0
11-12,WR18,v,0
12-13,WR18,v,0
13-14,WR18,v,64.96311719
14-15,WR18,v,0
15-16,WR18,v,64.96311719
16-17,WR18,v,64.96311719
17-18,WR18,v,0
18-19,WR18,v,0
19-20,WR18,v,0
20-21,WR18,v,0
21-22,WR18,v,0
22-23,WR18,v,64.96311719
23-24,WR18,v,0
24-25,WR18,v,0
25-26,WR18,v,0
26-27,WR18,v,64.96311719
27-28,WR18,v,64.96311719
28-29,WR18,v,0
29-30,WR18,v,0
