source,target,value
submersed 1,submersed 2,2
thatch 1,rice 2,2
bare 1,rice 2,6
bare 1,submersed 2,1
bare 1,thatch 2,3
bare 1,bare 2,7
rice 2,rice 3,6
rice 2,submersed 3,1
rice 2,bare 3,1
submersed 2,submersed 3,3
thatch 2,rice 3,2
thatch 2,submersed 3,1
bare 2,rice 3,4
bare 2,submersed 3,1
bare 2,thatch 3,1
bare 2,bare 3,1
rice 3,rice 4,5
rice 3,submersed 4,2
rice 3,thatch 4,4
rice 3,bare 4,1
submersed 3,submersed 4,6
thatch 3,bare 4,1
bare 3,submersed 4,2
rice 4,rice 5,4
rice 4,bare 5,1
submersed 4,rice 5,4
submersed 4,submersed 5,3
submersed 4,bare 5,3
thatch 4,rice 5,4
bare 4,bare 5,2
rice 5,rice 6,9
rice 5,submersed 6,2
rice 5,bare 6,1
submersed 5,rice 6,2
submersed 5,submersed 6,1
bare 5,rice 6,2
bare 5,submersed 6,1
bare 5,bare 6,3
rice 6,rice 7,8
submersed 6,rice 7,3
rice 6,submersed 7,2
submersed 6,submersed 7,1
bare 6,thatch 7,1
rice 6,bare 7,3
bare 6,bare 7,3
